0	||
1	106,899,300,737,803,753,1147|879,42,44,1394,522,701,194,499,742,1391|15942,10951,17269,23839,10262,150,7214,13775,19108,5598,27,17290,6401,21721,3091,4187,8195,24168,21245,8289,3392,16345,17070,22064,17238,6155
2	394,499|879,1352,42,44,733,458,1394,522,701,194,1329,499,742,89,1391,203|8073,17166,23400,13864,15853,6945,16487,18037,11605,5928,573,4411,18650,19764,11797,4138,8966,4994,10022,4455,21778,12438,19762,8491,8024,11535,19836,11660,14393,992,15834,3794,7720,17013,14644,24125,19071,22416,11148,3707,13293,14850,17306,4593,13176,9955,9903,14673,22653,3952,5301,22056,2136,2189,8437,8521,15916,19787,18949,2714,8199,24104,1112,14374,18995,23648,20163,6735,4446,10293,18605,18494,19845,13061,19849,14756,10753,10577,10879,16578
3	39,1292,797,1118|622,1394,299,868,806,1166,374,1256,939,134|10300,12113,14320,21404,21864,19705,11560,2186
4	|12|6614
5	180,703,1272,39,105,701,1014,299,1230,345,374,1233,789,168,642,177,730,797,1248,607,210,674,499,1256,782|801,701,203,1380,1052,516,1113,29,1104,1347,25,1273,906,523,48,1249,433,977,797,1205,522,1323,355,570,782,703,39,535,1391,748,1348,742,1233,1374,895,249,510,730,228,1134,685,706,101,1256,194,803,751,1333,840,918,1209,345,33,762,63,168,1329,1118,1239,334,58,580,956,509,962,200,238,1267,681,1393,299,1344,1084,1061,399,630,1057,756,374,997,622,76,721,559,44,656,1383,476,196,1073|6419,21466,1637,21104,5628,17590,11894,14272,19016,10973,1120,21279,20656,15915,17321,13043,21176,11472,1205,11937,21917,7640,23749,17916,24059,5270,23556,14724,9095,23756,5180,13930,6440,14733,21785,19577,7202,19588,7386,12328,21487,1655,19187,17302,9626,19445,24181,4618,2312,21518,373,23799,19926,21388,2629,15941,10798,20502,18039,21593,7759,8849,14981,10970,8893,22377,10190,16096,6806,14664,19448,14486,104,16732,22773,22777,20437,13324,1554,19772,21311,7264,14840,6212,13186,15990,9796,1993,20897,11705,11837,6339,19747,6887,14672,19900,13519,10461,23487,20284,20610,14929,14286
6	|631|7122,3671,23384,11719
7	345|345,516,399,48,29|8849
8	|535,10|7794
9	1281,334,499|915,311,431,645,1239,1091,244,745,1122,1073,116,1212,874,1348,917,435,284,909,1054,1280|13832,20075,20083,3860,7402,22368,15477,20916,8011,1750,1496,11480,21372,5370,17602,13316,23579,10007,3695,14280,5557,14398,12170,19075,17315,16871,1857,8061,23997,13810,16924
10	499|915,311,431,645,244,86,1054,1122,1212,874,899,1348,917,435,909,284,1280|22438,17622,1893,3366,23670,1338,20481,22560,14763,6985,9284,11205,16538,8003,10026,17958,15029
